backend_lane,h_attempted,segment_index,t_before,total_wall_s
hybrid_dense_core,0.01,193,1.93,0.38598565899883397
hybrid_dense_core,0.01,194,1.94,0.4060839770027087
hybrid_dense_core,0.01,195,1.95,0.3988548530032858
hybrid_dense_core,0.01,196,1.96,0.3867300339989015
hybrid_dense_core,0.01,197,1.97,0.3980428029972245
hybrid_dense_core,0.01,198,1.98,0.39315084199915873
hybrid_dense_core,0.01,199,1.99,0.38546691100054886
hybrid_dense_core,0.01,200,2.0,0.3913204359996598
hybrid_dense_core,0.01,201,2.0100000000000002,0.3929405079979915
hybrid_dense_core,0.01,202,2.02,0.392975780996494
hybrid_dense_core,0.01,203,2.0300000000000002,0.3876582830052939
hybrid_dense_core,0.01,204,2.04,0.39284789899829775
hybrid_dense_core,0.01,205,2.05,0.3920440319998306
hybrid_dense_core,0.01,206,2.06,0.5290727870014962
hybrid_dense_core,0.01,207,2.07,0.38729831499949796
hybrid_dense_core,0.01,208,2.08,0.39164762099971995
hybrid_dense_core,0.01,209,2.09,0.39676640200195834
hybrid_dense_core,0.01,210,2.1,0.39651100999617483
hybrid_dense_core,0.01,211,2.11,0.3995748379966244
hybrid_dense_core,0.01,212,2.12,0.3941660380005487
hybrid_dense_core,0.01,213,2.13,0.3868636479965062
hybrid_dense_core,0.01,214,2.14,0.39394470900151646
hybrid_dense_core,0.01,215,2.15,0.3879040480023832
hybrid_dense_core,0.01,216,2.16,0.3992788880059379
hybrid_dense_core,0.01,217,2.17,0.39559599100175546
hybrid_dense_core,0.01,218,2.18,0.3934040410022135
hybrid_dense_core,0.01,219,2.19,0.3952457960040192
hybrid_dense_core,0.01,220,2.2,0.3961376450024545
hybrid_dense_core,0.01,221,2.21,0.3907315210017259
hybrid_dense_core,0.01,222,2.22,0.3948420920060016
hybrid_dense_core,0.01,223,2.23,0.3869328190048691
hybrid_dense_core,0.01,224,2.24,0.42577195800549816
hybrid_dense_core,0.01,225,2.25,0.38700078900001245
hybrid_dense_core,0.01,226,2.2600000000000002,0.4051912959985202
hybrid_dense_core,0.01,227,2.27,0.39715182399959303
hybrid_dense_core,0.01,228,2.2800000000000002,0.3904840319955838
hybrid_dense_core,0.01,229,2.29,0.39715388000331586
hybrid_dense_core,0.01,230,2.3000000000000003,0.39918663499702234
hybrid_dense_core,0.01,231,2.31,0.39528030899964506
hybrid_dense_core,0.01,232,2.32,0.3896890230025747
hybrid_dense_core,0.01,233,2.33,0.39518516099633416
hybrid_dense_core,0.01,234,2.34,0.3938793500055908
hybrid_dense_core,0.01,235,2.35,0.3859726660011802
hybrid_dense_core,0.01,236,2.36,0.387619690001884
hybrid_dense_core,0.01,237,2.37,0.4051741959992796
hybrid_dense_core,0.01,238,2.38,0.38843580999673577
hybrid_dense_core,0.01,239,2.39,0.3976566470009857
hybrid_dense_core,0.01,240,2.4,0.39446506000240333
hybrid_dense_core,0.01,241,2.41,0.4012861189985415
hybrid_dense_core,0.01,242,2.42,0.3998039680009242
hybrid_dense_core,0.01,243,2.43,0.3893943329967442
hybrid_dense_core,0.01,244,2.44,0.39436309600569075
hybrid_dense_core,0.01,245,2.45,0.39496071599569404
hybrid_dense_core,0.01,246,2.46,0.39477254200028256
hybrid_dense_core,0.01,247,2.47,0.4032956250011921
hybrid_dense_core,0.01,248,2.48,0.3948469430033583
hybrid_dense_core,0.01,249,2.49,0.39531190499837976
hybrid_dense_core,0.01,250,2.5,0.39546663100190926
hybrid_dense_core,0.01,251,2.5100000000000002,0.38809613400371745
hybrid_dense_core,0.01,252,2.52,0.4078977339959238
hybrid_dense_core,0.01,253,2.5300000000000002,0.3880828859983012
hybrid_dense_core,0.01,254,2.54,0.39652516299975105
hybrid_dense_core,0.01,255,2.5500000000000003,0.3890856399957556
hybrid_dense_core,0.01,256,2.56,0.39539053800399415
hybrid_dense_core,0.01,257,2.57,0.4076539390007383
hybrid_dense_core,0.01,258,2.58,0.3963616920009372
hybrid_dense_core,0.01,259,2.59,0.397018436997314
hybrid_dense_core,0.01,260,2.6,0.39409976600290975
hybrid_dense_core,0.01,261,2.61,0.39510276399960276
hybrid_dense_core,0.01,262,2.62,0.39822249700227985
hybrid_dense_core,0.01,263,2.63,0.3956892999995034
hybrid_dense_core,0.01,264,2.64,0.38826731299923267
hybrid_dense_core,0.01,265,2.65,0.3881760260046576
hybrid_dense_core,0.01,266,2.66,0.38756986299995333
hybrid_dense_core,0.01,267,2.67,0.40419964600005187
hybrid_dense_core,0.01,268,2.68,0.3954184939939296
hybrid_dense_core,0.01,269,2.69,0.39157334699848434
hybrid_dense_core,0.01,270,2.7,0.39478062000125647
hybrid_dense_core,0.01,271,2.71,0.412327345002268
hybrid_dense_core,0.01,272,2.72,0.4007361440017121
hybrid_dense_core,0.01,273,2.73,0.3947890199997346
hybrid_dense_core,0.01,274,2.74,0.39555176599969855
hybrid_dense_core,0.01,275,2.75,0.39594480599771487
hybrid_dense_core,0.01,276,2.7600000000000002,0.39588237999851117
hybrid_dense_core,0.01,277,2.77,0.3955828809994273
hybrid_dense_core,0.01,278,2.7800000000000002,0.39780445100041106
hybrid_dense_core,0.01,279,2.79,0.3963011719970382
hybrid_dense_core,0.01,280,2.8000000000000003,0.3879507579986239
hybrid_dense_core,0.01,281,2.81,0.3948919870017562
hybrid_dense_core,0.01,282,2.82,0.39503481300198473
hybrid_dense_core,0.01,283,2.83,0.4055065860011382
hybrid_dense_core,0.01,284,2.84,0.3965778669953579
hybrid_dense_core,0.01,285,2.85,0.3960418339993339
hybrid_dense_core,0.01,286,2.86,0.388411387000815
hybrid_dense_core,0.01,287,2.87,0.3974395260011079
hybrid_dense_core,0.01,288,2.88,0.4096322670011432
hybrid_dense_core,0.01,289,2.89,0.3894297670049127
hybrid_dense_core,0.01,290,2.9,0.38962670999899274
hybrid_dense_core,0.01,291,2.91,0.39691455099818995
hybrid_dense_core,0.01,292,2.92,0.3959160599988536
hybrid_dense_core,0.01,293,2.93,0.4115206380010932
hybrid_dense_core,0.01,294,2.94,0.3959058980035479
hybrid_dense_core,0.01,295,2.95,0.4147458990046289
hybrid_dense_core,0.01,296,2.96,0.388965846002975
hybrid_dense_core,0.01,297,2.97,0.39615099499496864
hybrid_dense_core,0.01,298,2.98,0.3971629119987483
hybrid_dense_core,0.01,299,2.99,0.3880651969957398
hybrid_dense_core,0.01,300,3.0,0.38804416800121544
hybrid_dense_core,0.01,301,3.0100000000000002,0.387672136996116
hybrid_dense_core,0.01,302,3.02,0.3887200329991174
