lane,segment_index,physical_time,controller_period,state,enclosure_kind,torch_width_median,torch_width_p95,torch_width_max,xiangru_width_median,xiangru_width_p95,xiangru_width_max,torch_over_xiangru_ratio_median,torch_over_xiangru_ratio_p95,torch_over_xiangru_ratio_max,torch_hull_width,xiangru_hull_width,torch_polynomial_range_width_median,torch_polynomial_range_width_p95,torch_polynomial_range_width_max,xiangru_polynomial_range_width_median,xiangru_polynomial_range_width_p95,xiangru_polynomial_range_width_max,torch_interval_remainder_width_median,torch_interval_remainder_width_p95,torch_interval_remainder_width_max,xiangru_interval_remainder_width_median,xiangru_interval_remainder_width_p95,xiangru_interval_remainder_width_max,maximum_lower_abs_difference,maximum_upper_abs_difference,torch_contains_xiangru_leaf_count,xiangru_contains_torch_leaf_count,minimum_torch_property_margin,minimum_xiangru_property_margin
common_control_plant_replay,90,9.0,9,x2,tube,0.17771598619999351,0.18376058623077873,0.18577028052413808,0.17168853253045244,0.17749545910578313,0.17943393134402558,1.0355238950902623,1.03662467952602,1.0371741808138497,0.2560707807732658,0.25091050214849353,0.17531386956752312,0.18127866022632452,0.1832645446626004,0.1674064934319943,0.17331928811232433,0.17524599984930372,0.002407671438848037,0.00250548082400631,0.002517483897353768,0.004092569235817765,0.004503568391126524,0.004652601235627671,0.007334116440161326,0.0014030735984955633,0,0,1.6651446969526076,1.663741623354112
common_control_plant_replay,90,9.0,9,x3,tube,0.5129282642776269,0.5551231271768297,0.5573895261482193,0.4907907309567584,0.5298830063593402,0.5324271430848001,1.0450913515636775,1.0472161822041832,1.0478852080922774,0.684507838010435,0.6611632526789826,0.5129282642085895,0.5551231271073301,0.5573895260786957,0.4907907309567584,0.5298830063593402,0.5324271430848001,6.902113441528596e-11,6.949954334786727e-11,6.953405008365317e-11,0.0,0.0,0.0,0.0008350326487360782,0.024634673155084233,48,0,1.3216458483598654,1.3224808810086015
common_control_plant_replay,90,9.0,9,x4,tube,0.45393473470236406,0.5048964912377402,0.510166386508529,0.4495234362338858,0.4914397670766976,0.4978374459203906,1.0120648451211742,1.0310885585411236,1.0338435900561274,0.5912980481612765,0.5912980480670214,0.45393473463960554,0.504896491174534,0.5101663864453295,0.4495234362338858,0.4914397670766976,0.4978374459203906,6.275855878502574e-11,6.317859100511206e-11,6.324193419607909e-11,0.0,0.0,0.0,0.016700651977474612,0.00498291237820625,48,0,0.800569895995477,0.8005698960425875
common_control_plant_replay,90,9.0,9,u1,tube,0.32310925929420353,0.34887999941141157,0.3568739912422405,0.3231092592304723,0.3488799993473952,0.3568739911781478,1.000000000197244,1.0000000002072003,1.0000000002091067,0.5563324405897543,0.5563324405258481,0.32310925925128386,0.3488799993682135,0.35687399119896895,0.3231092592304723,0.3488799993473952,0.3568739911781478,4.291964788075501e-11,4.320065921962835e-11,4.3271555021462354e-11,0.0,0.0,0.0,3.204014831226232e-11,3.205258281013812e-11,48,0,N/A,N/A
common_control_plant_replay,91,9.1,10,x1,tube,0.09722320177873323,0.1007264303501739,0.10185778857358307,0.09371854054891032,0.09719717888764456,0.09831955638578371,1.037229674927445,1.0384985834845168,1.0387731054720837,0.19541235532054035,0.1917405035387072,0.09714067603193177,0.10064022433126917,0.10177017614853018,0.0936237504509963,0.09709775797270567,0.09821713563401765,8.176020039409436e-05,8.757791284631849e-05,8.802437423936614e-05,9.405426230262998e-05,0.00010167960878213645,0.0001024207517660617,0.0036823013898232837,1.4826931987066416e-05,0,0,1.3317550774622933,1.3354373788521166
common_control_plant_replay,91,9.1,10,x2,tube,0.12902358262734542,0.13611643814037871,0.13816330091234283,0.1231163970186693,0.1301645905570345,0.13216820695867354,1.0469467248206863,1.049451201313167,1.0495530152331862,0.2048406714113797,0.19930910499547394,0.12889818910587666,0.13598205801077975,0.13802650233994063,0.12287863831912621,0.12989958914377828,0.13189598491386947,0.00012567359926759483,0.00013420530780659218,0.00013679857240221573,0.00024776384408924784,0.0002670467488350143,0.00027222204480405567,0.00601500924487991,9.092073318245353e-05,48,0,1.6364178149466477,1.636479372915303
common_control_plant_replay,91,9.1,10,x3,tube,0.256757989403738,0.26738031037550086,0.27036362638719774,0.24528455725807696,0.2553381740223615,0.2580425443880816,1.04785939090515,1.0494551949441844,1.049673685353885,0.3987047126010794,0.38676205362286675,0.25675798940128114,0.26738031037302495,0.2703636263847413,0.24528455725807696,0.2553381740223615,0.2580425443880816,2.4543122661201664e-12,2.4740117790814033e-12,2.4814475250747365e-12,0.0,0.0,0.0,0.0008854905872609509,0.011682086934905633,48,0,1.3826177928381127,1.3834825469472145
common_control_plant_replay,91,9.1,10,x4,tube,0.23156944457946171,0.2475793015441318,0.25135155035355716,0.2160551012615815,0.23028312462591088,0.2336417386508295,1.0723337837790954,1.0751092716004185,1.0758354515326394,0.34918523231169085,0.3326285498057212,0.23156944457694575,0.24757930154161,0.25135155035102935,0.2160551012615815,0.23028312462591088,0.2336417386508295,2.5143259251134368e-12,2.5283084845098302e-12,2.535174589952575e-12,0.0,0.0,0.0,0.017709811700323375,2.41140440948584e-12,48,0,0.9595902863989549,0.9761469689025242
common_control_plant_replay,91,9.1,10,u1,tube,0.3104613806733152,0.3459235382752196,0.3541962339652365,0.3104613806664922,0.3459235382683545,0.354196233958362,1.0000000000219769,1.0000000000231102,1.0000000000242268,0.37896523911905433,0.3789652391122029,0.3104613806693616,0.34592353827122774,0.3541962339612372,0.3104613806664922,0.3459235382683545,0.354196233958362,3.955819061078317e-12,3.99216461160751e-12,3.999307017185422e-12,0.0,0.0,0.0,3.4301450568818836e-12,3.4443559115970857e-12,48,0,N/A,N/A
common_control_plant_replay,92,9.200000000000001,10,x1,tube,0.1095760824682609,0.11318200724580982,0.11406647314790402,0.10569809001772218,0.10923083548235402,0.11013434270416939,1.0364740147788707,1.0375422799686354,1.0377953369871564,0.20179655401017604,0.19774880035072162,0.10938733491364849,0.11298360773135267,0.11386832406576591,0.10546913944898023,0.10899238125827639,0.10989021773889074,0.00018672596004134682,0.00019885364161457094,0.0002009179722851908,0.0002270946818902963,0.00024452662749401054,0.0002465523419999104,0.004081098874510913,4.6790047851796857e-05,0,0,1.3566974457622307,1.3607785446367417
common_control_plant_replay,92,9.200000000000001,10,x2,tube,0.13405195176719106,0.141114403208217,0.14309677852336622,0.127675669960492,0.1347048652983509,0.13664289440337002,1.0487934626822555,1.050916039485088,1.0509776642237467,0.20582998768871208,0.19986659787341113,0.13378154340043127,0.14082663488409675,0.1428035726804414,0.1271528271008352,0.1341194547929282,0.1360417222252168,0.00026927614165931176,0.0002873664033331461,0.0002932058429248435,0.0005461579664550315,0.0005897802566934169,0.000601172178153216,0.006575579727762404,8.5215904964131e-05,1,0,1.5849950809672009,1.5849098650622366
common_control_plant_replay,92,9.200000000000001,10,x3,tube,0.2659496188022641,0.27807406183089833,0.2807790815019763,0.2525334112483395,0.26388577494917465,0.26680233124553465,1.0525896634007426,1.054375852318163,1.0545961753533952,0.3981672935533169,0.38467530510049824,0.2659496187949494,0.27807406182354105,0.2807790814946475,0.2525334112483395,0.26388577494917465,0.26680233124553465,7.312358907302363e-12,7.34951155871532e-12,7.360473988100992e-12,0.0,0.0,0.0,0.0008854905909182476,0.013453068108254751,48,0,1.2998334078403548,1.3006981619531146
common_control_plant_replay,92,9.200000000000001,10,x4,tube,0.2624884732047226,0.2821716553759937,0.2867711737544265,0.24702895888268844,0.26487547845064624,0.26906136204456566,1.0631919564511652,1.0653000006608804,1.0658481961858535,0.38334873374145906,0.36679205122836567,0.2624884731974002,0.2821716553686405,0.28677117374706085,0.24702895888268844,0.26487547845064624,0.26906136204456566,7.322141348147727e-12,7.359268171205488e-12,7.36586741462032e-12,0.0,0.0,0.0,0.017709811703839895,6.022737863986549e-12,48,0,1.0224454895416182,1.039002172048698
common_control_plant_replay,92,9.200000000000001,10,u1,tube,0.31046138067764595,0.3459235382795846,0.3541962339696063,0.310461380664492,0.3459235382663543,0.3541962339563618,1.000000000042369,1.0000000000445393,1.0000000000467042,0.3789652391234064,0.37896523911020275,0.3104613806693639,0.3459235382712289,0.35419623396123484,0.310461380664492,0.3459235382663543,0.3541962339563618,8.28420748800631e-12,8.356063657233037e-12,8.371488864151418e-12,0.0,0.0,0.0,6.615152869926533e-12,6.629363724641735e-12,48,0,N/A,N/A
common_control_plant_replay,93,9.3,10,x1,tube,0.12103430908768215,0.1249874776297424,0.12533689640592988,0.1168682874952102,0.12065151215608949,0.12108830368939161,1.0357822910994847,1.0366261431109705,1.0368432747872751,0.2063277111806351,0.2019573974171856,0.12071955129912491,0.12465053173360978,0.1250050781301815,0.11646633841381356,0.12021827672708617,0.12065822976699815,0.0003144354215356709,0.00033362593291676705,0.0003383537735704528,0.00040086315900848867,0.00043132512027248943,0.00043596219982562124,0.004441079106250356,9.832750071187002e-05,0,0,1.3875037081408461,1.3919447872470965
common_control_plant_replay,93,9.3,10,x2,tube,0.1380433758327996,0.14490368455242544,0.1467987759693573,0.13133290778377218,0.13813005061524314,0.1399805177331503,1.0502545429871832,1.051959984739338,1.0519775135774734,0.21095281571906643,0.2046570135594174,0.13762054278109315,0.1444488140082075,0.14633526866405758,0.13045982060348565,0.13717837605489255,0.13900415331550692,0.00042719948199173256,0.0004543755269739673,0.0004635073052997263,0.000888381327272478,0.0009581946752756756,0.0009763644176433684,0.007071725702381293,0.00026130940921176293,0,0,1.5324369692313888,1.5321936674181358
common_control_plant_replay,93,9.3,10,x3,tube,0.27761839675024724,0.2920439853784026,0.2945058731175315,0.2630244575264134,0.27647175456470796,0.2788734546029989,1.0564220810278218,1.0582268987909695,1.0584379578251417,0.4008228263112723,0.3857815083830832,0.2776183967375533,0.2920439853656513,0.2945058731048042,0.2630244575264134,0.27647175456470796,0.2788734546029989,1.2694288945252558e-11,1.275328786177466e-11,1.2766390415267481e-11,0.0,0.0,0.0,0.0008854905949648995,0.015224049281982954,48,0,1.2232918768723922,1.224156630989198
