analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.0,0.0,True,400,cpu,float64,14.834533256827854,4.0,completed,0.036965042003430426,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.6042031347751617e-05,3,4.0,400,0,total_configuration_v2,15.636676203401294,0.03757458401378244,15.636676203401294,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,17.704799697210547,4.0,completed,0.04509824997512624,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.2832984793931246e-05,4,4.0,400,0,total_configuration_v2,18.70366625324823,0.04100937501061708,18.70366625324823,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,20.2256244160817,4.0,completed,0.04115666600409895,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.291697844862938e-05,5,4.0,400,0,total_configuration_v2,21.434801114781294,0.04176574997836724,21.434801114781294,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,20.013120166840963,4.0,completed,0.03642016602680087,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.4541961718350649e-05,6,4.0,400,0,total_configuration_v2,21.130345201003365,0.0416421249974519,21.130345201003365,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,15.385078588617034,4.0,completed,0.043228916998486966,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.695798709988594e-05,7,4.0,400,0,total_configuration_v2,16.2180920431274,0.03825866599800065,16.2180920431274,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,14.92385902942624,4.0,completed,0.04202862503007054,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.1791998986154795e-05,8,4.0,400,0,total_configuration_v2,15.733091366069857,0.038082415994722396,15.733091366069857,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,15.391580659081228,4.0,completed,0.03684216598048806,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.579197123646736e-05,9,4.0,400,0,total_configuration_v2,16.26217820122838,0.03778966597747058,16.26217820122838,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,14.736205237044487,4.0,completed,0.04874525003833696,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.4167046174407005e-05,10,4.0,400,0,total_configuration_v2,15.53451537626097,0.037803957995492965,15.53451537626097,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,38.329179325606674,0.0,True,400,cpu,float64,37.10042261471972,4.0,completed,0.064941041986458,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.9666040316224098e-05,0,4.0,400,0,total_configuration_v2,38.329179325606674,0.07271033304277807,38.329179325606674,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,27.122968449431937,4.0,completed,0.07335420796880499,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.4624965842813253e-05,1,4.0,400,0,total_configuration_v2,27.935267195745837,0.06746112497057766,27.935267195745837,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,27.200720285763964,4.0,completed,0.07322199997724965,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.3833981938660145e-05,2,4.0,400,0,total_configuration_v2,28.01057508867234,0.067290790961124,28.01057508867234,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,28.612172791094054,4.0,completed,0.06529070797841996,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.429201802238822e-05,3,4.0,400,0,total_configuration_v2,29.450695418927353,0.06731062498874962,29.450695418927353,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,27.00468707550317,4.0,completed,0.06434062501648441,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.0290957763791084e-05,4,4.0,400,0,total_configuration_v2,27.809562291484326,0.06739337497856468,27.809562291484326,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,26.81339987477986,4.0,completed,0.07301437499700114,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,2.8541020583361387e-05,5,4.0,400,0,total_configuration_v2,27.61772670946084,0.06633437500568107,27.61772670946084,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,31.529015326173976,4.0,completed,0.06675295799504966,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.2042000889778137e-05,6,4.0,400,0,total_configuration_v2,32.48560978518799,0.07040954200783744,32.48560978518799,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,29.465696965286043,4.0,completed,0.06458516698330641,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.2375006917864084e-05,7,4.0,400,0,total_configuration_v2,30.317990157636814,0.06678216601721942,30.317990157636814,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
