boundary,coefficient_hash,control,control_status,failure_boundary,physical_hull,status
150,bf764937da57ad33608d6101f3aeb71cc253fc3cf36392b8cf415e03ddd2122e,C2,completed_boundary_164_full_h,,"{""hi"":[[-1.8214096098508767,0.5025623395400596]],""hi_hex"":[[""-0x1.d247e672edfc9p+0"",""0x1.014fd9d90d362p-1""]],""lo"":[[-2.00411031786178,0.39125515488141244]],""lo_hex"":[[""-0x1.0086afd86570fp+1"",""0x1.90a530fa6da6bp-2""]],""width"":[[0.1827007080109031,0.11130718465864714]]}",recorded
163,2540648bbe4e79abf4a3a7defa77780b1e3fef9b83eff74468b2c9d2e1f00072,C2,completed_boundary_164_full_h,,"{""hi"":[[-1.5990093769088085,0.70571136969569]],""hi_hex"":[[""-0x1.9958adb3d2177p+0"",""0x1.6953002a84470p-1""]],""lo"":[[-1.8201484166721447,0.5903681561038]],""lo_hex"":[[""-0x1.d1f53f2379195p+0"",""0x1.2e44bc26219c1p-1""]],""width"":[[0.22113903976333615,0.11534321359189004]]}",recorded
164,6785fb7b30c79a0dd34ab92fbf5e88335a7946ad20f581195585bcf0b7731e2c,C2,completed_boundary_164_full_h,,"{""hi"":[[-1.575225523195558,0.7231069397663626]],""hi_hex"":[[""-0x1.9341fad9f30cap+0"",""0x1.723b12a39d455p-1""]],""lo"":[[-1.8002754685856792,0.6037480319548972]],""lo_hex"":[[""-0x1.ccdeda655dd76p+0"",""0x1.351e76488a923p-1""]],""width"":[[0.22504994539012113,0.11935890781146541]]}",recorded
1,bd76ac655f5f53f6826617bad2a723f8da8a47b26bca37e505bc8340d4e3d07c,C3,domain_gate_failure,11,"{""hi"":[[1.4303351402636648,2.4293180943742962]],""hi_hex"":[[""0x1.6e2a7199c083fp+0"",""0x1.36f3e53375962p+1""]],""lo"":[[1.1292444674417055,2.3026725680895725]],""lo_hex"":[[""0x1.21162a58d9df3p+0"",""0x1.26bdf986aba77p+1""]],""width"":[[0.30109067282195934,0.1266455262847237]]}",recorded
5,31919c5172073f3941f822149bae098b3bb2c5e55509336d975e6d76e32882bb,C3,domain_gate_failure,11,"{""hi"":[[1.5752357212539894,2.2860314805015562]],""hi_hex"":[[""0x1.9342a5f246e01p+0"",""0x1.249cadf730b90p+1""]],""lo"":[[1.2736438258022338,2.031153807193233]],""lo_hex"":[[""0x1.460d859292aa9p+0"",""0x1.03fcd9138539cp+1""]],""width"":[[0.3015918954517556,0.25487767330832334]]}",recorded
7,2fddf5704d8f8bfce503e91bec7e36e856c846e6dd23defef8b13a0c3940ca1f,C3,domain_gate_failure,11,"{""hi"":[[1.6393662801987667,2.1941542476189446]],""hi_hex"":[[""0x1.a3ad822f9e6eap+0"",""0x1.18da0bdff390bp+1""]],""lo"":[[1.3405574059718155,1.8846505005243623]],""lo_hex"":[[""0x1.572ec5290f3e3p+0"",""0x1.e278748824651p+0""]],""width"":[[0.29880887422695124,0.3095037470945823]]}",recorded
8,5c4e3e5e8a7524d5a975833f49be7a7600e183a745435d2a64d473a88850391f,C3,domain_gate_failure,11,"{""hi"":[[1.6631076719157767,2.154734779991579]],""hi_hex"":[[""0x1.a9c16ca49ade9p+0"",""0x1.13ce5969cf0d1p+1""]],""lo"":[[1.3658982257599115,1.8258740607384292]],""lo_hex"":[[""0x1.5dab81914da17p+0"",""0x1.d36c7b817c7c4p+0""]],""width"":[[0.2972094461558652,0.32886071925314964]]}",recorded
10,b3c56f9b26d3f4b6fddc96654f16225b9ffbd618ee120bcdafdc156d2b40ee73,C3,domain_gate_failure,11,"{""hi"":[[1.715090346346405,2.0567700593745704]],""hi_hex"":[[""0x1.b71029333e3d4p+0"",""0x1.07443dc633efep+1""]],""lo"":[[1.4226160336150466,1.6878826616732097]],""lo_hex"":[[""0x1.6c30907b24511p+0"",""0x1.b01913ff5f32cp+0""]],""width"":[[0.29247431273135827,0.3688873977013607]]}",recorded
11,192539380a0f987b514d9a2a28bfd268c204e9b88d4551dfe6c54db66f144c6a,C3,domain_gate_failure,11,"{""hi"":[[1.7431992869975106,1.996353430400053]],""hi_hex"":[[""0x1.be424ef810987p+0"",""0x1.ff1104b6d35d2p+0""]],""lo"":[[1.4540742084446256,1.6075626403398355]],""lo_hex"":[[""0x1.743e35133a0c9p+0"",""0x1.9b8939a687efep+0""]],""width"":[[0.28912507855288494,0.38879079006021744]]}",recorded
12,,C3,domain_gate_failure,11,,not_reached_after_stop
