step,published_and_schedule_exact,actual_pre_reset_retained_state_exact,actual_post_reset_equals_next_copied_prestate,queue_J_size_pre_reset,queue_Phi_L_size_pre_reset
683,True,True,True,83,83
684,True,True,True,84,84
685,True,True,True,85,85
686,True,True,True,86,86
687,True,True,True,87,87
688,True,True,True,88,88
689,True,True,True,89,89
690,True,True,True,90,90
691,True,True,True,91,91
692,True,True,True,92,92
693,True,True,True,93,93
694,True,True,True,94,94
695,True,True,True,95,95
696,True,True,True,96,96
697,True,True,True,97,97
698,True,True,True,98,98
699,True,True,True,99,99
700,True,True,True,100,100
701,True,True,True,1,1
702,True,True,True,2,2
703,True,True,True,3,3
704,True,True,True,4,4
705,True,True,True,5,5
706,True,True,True,6,6
707,True,True,True,7,7
708,True,True,True,8,8
709,True,True,True,9,9
710,True,True,True,10,10
711,True,True,True,11,11
712,True,True,True,12,12
713,True,True,True,13,13
714,True,True,True,14,14
715,True,True,True,15,15
716,True,True,True,16,16
717,True,True,True,17,17
718,True,True,True,18,18
719,True,True,True,19,19
720,True,True,True,20,20
721,True,True,True,21,21
722,True,True,True,22,22
723,True,True,True,23,23
724,True,True,True,24,24
725,True,True,True,25,25
726,True,True,True,26,26
727,True,True,True,27,27
728,True,True,True,28,28
729,True,True,True,29,29
730,True,True,True,30,30
731,True,True,True,31,31
732,True,True,True,32,32
733,True,True,True,33,33
734,True,True,True,34,34
735,True,True,True,35,35
736,True,True,True,36,36
737,True,True,True,37,37
738,True,True,True,38,38
739,True,True,True,39,39
740,True,True,True,40,40
741,True,True,True,41,41
742,True,True,True,42,42
743,True,True,True,43,43
744,True,True,True,44,44
745,True,True,True,45,45
746,True,True,True,46,46
747,True,True,True,47,47
748,True,True,True,48,48
749,True,True,True,49,49
750,True,True,True,50,50
751,True,True,True,51,51
752,True,True,True,52,52
753,True,True,True,53,53
754,True,True,True,54,54
755,True,True,True,55,55
756,True,True,True,56,56
757,True,True,True,57,57
758,True,True,True,58,58
759,True,True,True,59,59
760,True,True,True,60,60
761,True,True,True,61,61
762,True,True,True,62,62
763,True,True,True,63,63
764,True,True,True,64,64
765,True,True,True,65,65
766,True,True,True,66,66
767,True,True,True,67,67
768,True,True,True,68,68
769,True,True,True,69,69
770,True,True,True,70,70
771,True,True,True,71,71
772,True,True,True,72,72
773,True,True,True,73,73
774,True,True,True,74,74
775,True,True,True,75,75
776,True,True,True,76,76
777,True,True,True,77,77
778,True,True,True,78,78
779,True,True,True,79,79
780,True,True,True,80,80
781,True,True,True,81,81
782,True,True,True,82,82
783,True,True,True,83,83
784,True,True,True,84,84
785,True,True,True,85,85
786,True,True,True,86,86
787,True,True,True,87,87
788,True,True,True,88,88
789,True,True,True,89,89
790,True,True,True,90,90
791,True,True,True,91,91
792,True,True,True,92,92
793,True,True,True,93,93
794,True,True,True,94,94
795,True,True,True,95,95
796,True,True,True,96,96
797,True,True,True,97,97
798,True,True,True,98,98
799,True,True,True,99,99
800,True,True,True,100,100
801,True,True,True,1,1
802,True,True,True,2,2
803,True,True,True,3,3
804,True,True,True,4,4
805,True,True,True,5,5
806,True,True,True,6,6
807,True,True,True,7,7
808,True,True,True,8,8
809,True,True,True,9,9
810,True,True,True,10,10
811,True,True,True,11,11
812,True,True,True,12,12
813,True,True,True,13,13
814,True,True,True,14,14
815,True,True,True,15,15
816,True,True,True,16,16
817,True,True,True,17,17
818,True,True,True,18,18
819,True,True,True,19,19
820,True,True,True,20,20
821,True,True,True,21,21
822,True,True,True,22,22
823,True,True,True,23,23
824,True,True,True,24,24
825,True,True,True,25,25
826,True,True,True,26,26
827,True,True,True,27,27
828,True,True,True,28,28
829,True,True,True,29,29
830,True,True,True,30,30
831,True,True,True,31,31
832,True,True,True,32,32
833,True,True,True,33,33
834,True,True,True,34,34
835,True,True,True,35,35
836,True,True,True,36,36
837,True,True,True,37,37
838,True,True,True,38,38
839,True,True,True,39,39
840,True,True,True,40,40
841,True,True,True,41,41
842,True,True,True,42,42
843,True,True,True,43,43
844,True,True,True,44,44
845,True,True,True,45,45
846,True,True,True,46,46
847,True,True,True,47,47
848,True,True,True,48,48
849,True,True,True,49,49
850,True,True,True,50,50
851,True,True,True,51,51
852,True,True,True,52,52
853,True,True,True,53,53
854,True,True,True,54,54
855,True,True,True,55,55
856,True,True,True,56,56
857,True,True,True,57,57
858,True,True,True,58,58
859,True,True,True,59,59
860,True,True,True,60,60
861,True,True,True,61,61
862,True,True,True,62,62
863,True,True,True,63,63
864,True,True,True,64,64
865,True,True,True,65,65
866,True,True,True,66,66
867,True,True,True,67,67
868,True,True,True,68,68
869,True,True,True,69,69
870,True,True,True,70,70
871,True,True,True,71,71
872,True,True,True,72,72
873,True,True,True,73,73
874,True,True,True,74,74
875,True,True,True,75,75
876,True,True,True,76,76
877,True,True,True,77,77
878,True,True,True,78,78
879,True,True,True,79,79
880,True,True,True,80,80
881,True,True,True,81,81
882,True,True,True,82,82
883,True,True,True,83,83
884,True,True,True,84,84
885,True,True,True,85,85
886,True,True,True,86,86
887,True,True,True,87,87
