backend_lane,h_attempted,segment_index,t_before,total_wall_s
hybrid_dense_core,0.01,192,1.92,0.7331311839952832
hybrid_dense_core,0.01,193,1.93,0.7412384799972642
hybrid_dense_core,0.01,194,1.94,0.7456141430011485
hybrid_dense_core,0.01,195,1.95,0.7289690640027402
hybrid_dense_core,0.01,196,1.96,0.7510590349993436
hybrid_dense_core,0.01,197,1.97,0.7509807739988901
hybrid_dense_core,0.01,198,1.98,0.7597188419968006
hybrid_dense_core,0.01,199,1.99,0.7517554180012667
hybrid_dense_core,0.01,200,2.0,0.7279513770045014
hybrid_dense_core,0.01,201,2.0100000000000002,0.7321698509986163
hybrid_dense_core,0.01,202,2.02,0.7306394650004222
hybrid_dense_core,0.01,203,2.0300000000000002,0.7262619789980818
hybrid_dense_core,0.01,204,2.04,0.7355842180040781
hybrid_dense_core,0.01,205,2.05,0.7184091369999805
hybrid_dense_core,0.01,206,2.06,0.8592244150058832
hybrid_dense_core,0.01,207,2.07,0.7349423609994119
hybrid_dense_core,0.01,208,2.08,0.7268743250024272
hybrid_dense_core,0.01,209,2.09,0.7550572120017023
hybrid_dense_core,0.01,210,2.1,0.7194965799935744
hybrid_dense_core,0.01,211,2.11,0.7368286749988329
hybrid_dense_core,0.01,212,2.12,0.7500841130022309
hybrid_dense_core,0.01,213,2.13,0.7213148490045569
hybrid_dense_core,0.01,214,2.14,0.7384159329958493
hybrid_dense_core,0.01,215,2.15,0.7404001320028328
hybrid_dense_core,0.01,216,2.16,0.7201132089976454
hybrid_dense_core,0.01,217,2.17,0.752176114001486
hybrid_dense_core,0.01,218,2.18,0.7332408010042855
hybrid_dense_core,0.01,219,2.19,0.7213728129936499
hybrid_dense_core,0.01,220,2.2,0.7414718109939713
hybrid_dense_core,0.01,221,2.21,0.7209146730019711
hybrid_dense_core,0.01,222,2.22,0.7399189569987357
hybrid_dense_core,0.01,223,2.23,0.7227887080007349
hybrid_dense_core,0.01,224,2.24,0.7216160249954555
hybrid_dense_core,0.01,225,2.25,0.7490532640003948
hybrid_dense_core,0.01,226,2.2600000000000002,0.7235825949974242
hybrid_dense_core,0.01,227,2.27,0.7421109870047076
hybrid_dense_core,0.01,228,2.2800000000000002,0.7612180839932989
hybrid_dense_core,0.01,229,2.29,0.7257006669969996
hybrid_dense_core,0.01,230,2.3000000000000003,0.7320096929979627
hybrid_dense_core,0.01,231,2.31,0.7397122789989226
hybrid_dense_core,0.01,232,2.32,0.7282348599983379
hybrid_dense_core,0.01,233,2.33,0.7522417950021918
hybrid_dense_core,0.01,234,2.34,0.7506983720013523
hybrid_dense_core,0.01,235,2.35,0.7446971269964706
hybrid_dense_core,0.01,236,2.36,0.7340546729974449
hybrid_dense_core,0.01,237,2.37,0.7421341839944944
hybrid_dense_core,0.01,238,2.38,0.7345116819997202
hybrid_dense_core,0.01,239,2.39,0.7299834869991173
hybrid_dense_core,0.01,240,2.4,0.886959237002884
hybrid_dense_core,0.01,241,2.41,0.7549516900035087
hybrid_dense_core,0.01,242,2.42,0.7280555629986338
hybrid_dense_core,0.01,243,2.43,0.7355874089989811
hybrid_dense_core,0.01,244,2.44,0.7421958100021584
